[2023-10-19 14:57:35,959: INFO: main: Welcome to our custom log]
[2023-10-19 21:00:13,913: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-10-19 21:00:13,920: INFO: common: yaml file: params.yaml loaded successfully]
[2023-10-19 21:00:13,924: INFO: common: created directory at: artifacts]
[2023-10-19 21:00:13,927: INFO: common: created directory at: artifacts/data_ingestion]
[2023-10-19 21:01:17,671: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-10-19 21:01:17,672: INFO: common: yaml file: params.yaml loaded successfully]
[2023-10-19 21:01:17,673: INFO: common: created directory at: artifacts]
[2023-10-19 21:01:17,684: INFO: common: created directory at: artifacts/data_ingestion]
[2023-10-19 21:14:22,462: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-10-19 21:14:22,463: INFO: common: yaml file: params.yaml loaded successfully]
[2023-10-19 21:14:22,463: INFO: common: created directory at: artifacts]
[2023-10-19 21:14:22,464: INFO: common: created directory at: artifacts/data_ingestion]
[2023-10-19 21:52:23,220: INFO: main: >>>>> Data Ingestion Stage Started <<<<<<<]
[2023-10-19 21:52:23,222: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-10-19 21:52:23,223: INFO: common: yaml file: params.yaml loaded successfully]
[2023-10-19 21:52:23,224: INFO: common: created directory at: artifacts]
[2023-10-19 21:52:23,224: INFO: common: created directory at: artifacts/data_ingestion]
[2023-10-19 21:52:23,225: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-10-19 21:52:50,582: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-10-19 21:52:51,049: INFO: main: >>>>> Data Ingestion Stage completed <<<<<<]
